,Return,Volatility,Sharpe,VaR
Portfolio_A,0.04677553386686335,0.010056712922684743,0.29299649802131944,-0.011938366077467288
Portfolio_B,0.049998871734814175,0.010496735802431498,0.3000583159374085,-0.012641028078837071
