id,ticker,trade_date,close_price
1,SPY,2021-06-07,394.3183
2,SPY,2021-06-08,394.4023
3,SPY,2021-06-09,393.8139
4,SPY,2021-06-10,395.6445
5,SPY,2021-06-11,396.2983
6,SPY,2021-06-14,397.1855
7,SPY,2021-06-15,396.4571
8,SPY,2021-06-16,394.2435
9,SPY,2021-06-17,394.1128
10,SPY,2021-06-18,388.7961
11,SPY,2021-06-21,394.3621
12,SPY,2021-06-22,396.4704
13,SPY,2021-06-23,395.9925
14,SPY,2021-06-24,398.335
15,SPY,2021-06-25,399.75
16,SPY,2021-06-28,400.5559
17,SPY,2021-06-29,400.7714
18,SPY,2021-06-30,401.1087
19,SPY,2021-07-01,403.3295
20,SPY,2021-07-02,406.4124
21,SPY,2021-07-06,405.6721
22,SPY,2021-07-07,407.1058
23,SPY,2021-07-08,403.7887
24,SPY,2021-07-09,408.099
25,SPY,2021-07-12,409.5608
26,SPY,2021-07-13,408.1646
27,SPY,2021-07-14,408.7737
28,SPY,2021-07-15,407.3775
29,SPY,2021-07-16,404.1823
30,SPY,2021-07-19,398.2133
31,SPY,2021-07-20,403.9198
32,SPY,2021-07-21,407.1902
33,SPY,2021-07-22,408.0428
34,SPY,2021-07-23,412.2408
35,SPY,2021-07-26,413.2527
36,SPY,2021-07-27,411.3693
37,SPY,2021-07-28,411.2006
38,SPY,2021-07-29,412.906
39,SPY,2021-07-30,410.9008
40,SPY,2021-08-02,410.0387
41,SPY,2021-08-03,413.3746
42,SPY,2021-08-04,411.3412
43,SPY,2021-08-05,413.9462
44,SPY,2021-08-06,414.6302
45,SPY,2021-08-09,414.2928
46,SPY,2021-08-10,414.8082
47,SPY,2021-08-11,415.839
48,SPY,2021-08-12,417.0853
49,SPY,2021-08-13,417.8443
50,SPY,2021-08-16,418.8281
51,SPY,2021-08-17,416.0826
52,SPY,2021-08-18,411.5286
53,SPY,2021-08-19,412.1657
54,SPY,2021-08-20,415.4454
55,SPY,2021-08-23,419.0999
56,SPY,2021-08-24,419.7652
57,SPY,2021-08-25,420.646
58,SPY,2021-08-26,418.1629
59,SPY,2021-08-27,421.9016
60,SPY,2021-08-30,423.7569
61,SPY,2021-08-31,423.1292
62,SPY,2021-09-01,423.354
63,SPY,2021-09-02,424.6565
64,SPY,2021-09-03,424.5534
65,SPY,2021-09-07,423.0355
66,SPY,2021-09-08,422.52
67,SPY,2021-09-09,420.7116
68,SPY,2021-09-10,417.3945
69,SPY,2021-09-13,418.4626
70,SPY,2021-09-14,416.2044
71,SPY,2021-09-15,419.6808
72,SPY,2021-09-16,419.0156
73,SPY,2021-09-17,414.9339
74,SPY,2021-09-20,408.0152
75,SPY,2021-09-21,407.6298
76,SPY,2021-09-22,411.6062
77,SPY,2021-09-23,416.6072
78,SPY,2021-09-24,417.2934
79,SPY,2021-09-27,416.0996
80,SPY,2021-09-28,407.7144
81,SPY,2021-09-29,408.4006
82,SPY,2021-09-30,403.4091
83,SPY,2021-10-01,408.2032
84,SPY,2021-10-04,402.939
85,SPY,2021-10-05,407.1316
86,SPY,2021-10-06,408.8236
87,SPY,2021-10-07,412.3581
88,SPY,2021-10-08,411.6062
89,SPY,2021-10-11,408.6263
90,SPY,2021-10-12,407.6204
91,SPY,2021-10-13,409.0869
92,SPY,2021-10-14,415.968
93,SPY,2021-10-15,419.1359
94,SPY,2021-10-18,420.3767
95,SPY,2021-10-19,423.6198
96,SPY,2021-10-20,425.2837
97,SPY,2021-10-21,426.393
98,SPY,2021-10-22,425.9512
99,SPY,2021-10-25,428.2354
100,SPY,2021-10-26,428.6209
101,SPY,2021-10-27,426.722
102,SPY,2021-10-28,430.8394
103,SPY,2021-10-29,431.7137
104,SPY,2021-11-01,432.4563
105,SPY,2021-11-02,434.2048
106,SPY,2021-11-03,436.8556
107,SPY,2021-11-04,438.9143
108,SPY,2021-11-05,440.4372
109,SPY,2021-11-08,440.8132
110,SPY,2021-11-09,439.3561
111,SPY,2021-11-10,435.8216
112,SPY,2021-11-11,435.9626
113,SPY,2021-11-12,439.2527
114,SPY,2021-11-15,439.4031
115,SPY,2021-11-16,441.1422
116,SPY,2021-11-17,440.0706
117,SPY,2021-11-18,441.5653
118,SPY,2021-11-19,440.7756
119,SPY,2021-11-22,439.5347
120,SPY,2021-11-23,440.1176
121,SPY,2021-11-24,441.2926
122,SPY,2021-11-26,431.4503
123,SPY,2021-11-29,436.7429
124,SPY,2021-11-30,428.2449
125,SPY,2021-12-01,423.4883
126,SPY,2021-12-02,429.9745
127,SPY,2021-12-03,426.2333
128,SPY,2021-12-06,431.2812
129,SPY,2021-12-07,440.2022
130,SPY,2021-12-08,441.3678
131,SPY,2021-12-09,438.388
132,SPY,2021-12-10,442.5146
133,SPY,2021-12-13,438.5947
